female,joy,sad,fear,,,male,joy,sad,fear
4,0.66666667,0.66666667,0.66666667,,,3,0.88888889,0.16666667,0.6
5,0.58823529,0.72727273,0.61904762,,,7,0.8,0.10526316,0.125
6,0.50746269,0,0.66666667,,,9,0,0.58461538,0.3125
8,0.05128205,0.6779661,0.18181818,,,13,0.26086957,0.66666667,0.38461538
10,0.66666667,0.5,0.8,,,14,0.89473684,0.37037037,0.72727273
12,0.6557377,0.97435897,0,,,15,0.93023256,0,0.70175439
18,0.07142857,0.71428571,0.72222222,,,16,0.55555556,0.51851852,0.0952381
19,0.4,0.26086957,0.59701493,,,17,0,0.54054054,0.2745098
25,0.0952381,0.76595745,0.76923077,,,20,0.41860465,0.25,0.4137931
27,0.75,0.83333333,1,,,21,0.33333333,0.69767442,0.75471698
28,0.97435897,0.74074074,0.51851852,,,22,0.91891892,0.26315789,0.44444444
30,0.94736842,0.95238095,1,,,23,0.75471698,0.51851852,0.35
33,0,0.60465116,0.37037037,,,24,0.53333333,0.42105263,0.38461538
36,1,1,1,,,26,0.44444444,0.78431373,0.33333333
37,0.82352941,0.82352941,0.76923077,,,29,0.18181818,0.55172414,0.8
38,0.48780488,0.5,0.82051282,,,31,0.5,0.66666667,0
39,0.67924528,0.33333333,0.74418605,,,32,0.48780488,0.44444444,0.65384615
41,0.78431373,0.62068966,1,,,34,0.81632653,0.53658537,0.66666667
43,0.85714286,0.78431373,0.82352941,,,35,0,0.37837838,0.75471698
45,0.70967742,0.40816327,0.5,,,40,0.72727273,0,0.66666667
46,0.6122449,0.38709677,1,,,42,0.62068966,0.92682927,0
48,0.77777778,0.625,0.69230769,,,44,0.46153846,0.66666667,0.82352941
49,1,1,1,,,47,0.62068966,0.42553191,0.5
