id,acc
3,0.6
4,0.5166666667
5,0.7666666667
6,0.5666666667
7,0.9833333333
8,0.3666666667
9,0.3833333333
10,0.7333333333
12,0.3833333333
13,0.5
14,0.6666666667
15,0.6
16,0.4833333333
17,0.2666666667
18,0.7666666667
19,0.4833333333
20,0.2833333333
21,0.4666666667
22,0.6166666667
23,0.65
24,0.5166666667
25,0.5666666667
26,0.8333333333
27,0.7
28,0.55
29,0.3
30,0.6833333333
31,0.7166666667
32,0.65
33,0.5
34,0.7833333333
35,0.45
36,0.7
37,0.5333333333
38,0.75
39,0.5
40,0.45
41,0.8
42,0.8333333333
43,0.7166666667
44,0.7833333333
45,0.7666666667
46,0.6666666667
47,0.85
48,0.5833333333
49,1
